2017-05-07 14:32:30.777596: step 10, duration = 6.513
2017-05-07 14:33:35.849257: step 20, duration = 6.501
2017-05-07 14:34:40.998233: step 30, duration = 6.512
2017-05-07 14:35:46.125371: step 40, duration = 6.508
2017-05-07 14:36:51.292833: step 50, duration = 6.504
2017-05-07 14:37:57.153098: step 60, duration = 6.525
2017-05-07 14:39:02.666592: step 70, duration = 6.631
2017-05-07 14:40:08.516765: step 80, duration = 6.609
2017-05-07 14:41:14.264916: step 90, duration = 6.510
2017-05-07 14:42:13.526920: Forward across 100 steps, 6.479 +/- 0.656 sec/batch
