2017-05-09 19:24:39.713417: step 10, duration = 13.756
2017-05-09 19:26:56.628598: step 20, duration = 13.599
2017-05-09 19:29:11.795775: step 30, duration = 13.578
2017-05-09 19:31:27.805193: step 40, duration = 13.579
2017-05-09 19:33:43.584820: step 50, duration = 13.684
2017-05-09 19:35:59.229736: step 60, duration = 13.598
2017-05-09 19:38:14.934320: step 70, duration = 13.640
2017-05-09 19:40:30.620270: step 80, duration = 13.599
2017-05-09 19:42:46.334898: step 90, duration = 13.588
2017-05-09 19:44:48.880690: Forward across 100 steps, 13.489 +/- 1.370 sec/batch
